x0b,x0w,x1b,x1w,x2b,x2w,x3b,x3w,x4b,x4w,x5b,x5w,x6b,x6w,x7b,x7w,x8b,x8w,x9b,x9w,x10b,x10w,x11b,x11w,x12b,x12w,x13b,x13w,x14b,x14w,x15b,x15w,x16b,x16w
1.44,-1.44,-0.16,0.16,-0.45,0.45,-0.75,0.75,-0.12,0.12,-1.23,1.23,-0.14,0.14,-0.19,0.19,-0.19,0.19,0.55,-0.55,-0.16,0.16,-0.16,0.16,0.07,-0.07,-0.31,0.31,0.07,-0.07,-0.37,0.37,-0.62,0.62
1.44,-1.44,-0.16,0.16,-0.45,0.45,-0.75,0.75,-0.12,0.12,-1.23,1.23,-0.14,0.14,-0.19,0.19,-0.19,0.19,0.55,-0.55,-0.16,0.16,-0.16,0.16,0.07,-0.07,-0.31,0.31,0.07,-0.07,-0.23,0.23,-0.62,0.62
1.44,-1.44,-0.16,0.16,-0.36,0.36,-0.75,0.75,-0.12,0.12,-1.23,1.23,-0.14,0.14,-0.14,0.14,-0.19,0.19,0.55,-0.55,-0.16,0.16,-0.16,0.16,0.07,-0.07,-0.31,0.31,0.07,-0.07,-0.23,0.23,-0.62,0.62
1.44,-1.44,-0.16,0.16,-0.35,0.35,-0.75,0.75,-0.12,0.12,-1.23,1.23,-0.14,0.14,-0.14,0.14,-0.03,0.03,0.55,-0.55,-0.16,0.16,-0.16,0.16,0.07,-0.07,-0.31,0.31,0.07,-0.07,-0.23,0.23,-0.62,0.62
1.44,-1.44,-0.16,0.16,-0.35,0.35,-0.75,0.75,-0.12,0.12,-1.23,1.23,-0.14,0.14,-0.14,0.14,-0.03,0.03,0.01,-0.01,-0.16,0.16,-0.16,0.16,0.07,-0.07,-0.31,0.31,0.07,-0.07,-0.67,0.67,-0.62,0.62
1.44,-1.44,-0.41,0.41,-0.35,0.35,-0.75,0.75,-0.12,0.12,-1.23,1.23,-0.14,0.14,-0.14,0.14,-0.03,0.03,0.01,-0.01,-0.16,0.16,-0.16,0.16,0.07,-0.07,-0.31,0.31,0.07,-0.07,-0.67,0.67,-0.2,0.2
1.44,-1.44,-0.41,0.41,-0.35,0.35,-0.36,0.36,-0.12,0.12,-1.23,1.23,-0.14,0.14,-0.14,0.14,-0.82,0.82,0.01,-0.01,-0.16,0.16,-0.41,0.41,0.07,-0.07,-0.31,0.31,-0.36,0.36,-0.67,0.67,-0.2,0.2
1.44,-1.44,-0.41,0.41,-0.45,0.45,-0.36,0.36,0.69,-0.69,-1.23,1.23,-0.26,0.26,-0.14,0.14,-0.82,0.82,0.01,-0.01,-0.16,0.16,-0.41,0.41,0.07,-0.07,-0.31,0.31,-0.26,0.26,-0.67,0.67,-0.2,0.2
1.44,-1.44,-0.41,0.41,-0.45,0.45,-0.55,0.55,-0.57,0.57,-1.23,1.23,-0.26,0.26,-0.14,0.14,-0.82,0.82,0.01,-0.01,-0.16,0.16,-0.41,0.41,0.07,-0.07,-0.25,0.25,-0.26,0.26,-0.38,0.38,-0.2,0.2
1.44,-1.44,-0.41,0.41,-0.45,0.45,-0.55,0.55,-0.57,0.57,-1.23,1.23,-0.04,0.04,0.18,-0.18,-0.82,0.82,0.01,-0.01,-0.16,0.16,-0.41,0.41,0.07,-0.07,-0.25,0.25,-0.26,0.26,-0.38,0.38,-0.2,0.2
1.44,-1.44,-0.41,0.41,-0.45,0.45,-0.55,0.55,-0.57,0.57,-1.23,1.23,-0.16,0.16,0.18,-0.18,-0.82,0.82,0.01,-0.01,-0.16,0.16,0.03,-0.03,0.07,-0.07,-0.25,0.25,-0.26,0.26,-0.38,0.38,-0.2,0.2
1.44,-1.44,-0.41,0.41,-0.45,0.45,-0.53,0.53,-0.57,0.57,-0.2,0.2,-0.16,0.16,0.18,-0.18,-0.82,0.82,0.01,-0.01,-0.16,0.16,0.03,-0.03,0.07,-0.07,-0.25,0.25,-0.26,0.26,-0.41,0.41,-0.2,0.2
1.44,-1.44,-0.41,0.41,-0.45,0.45,-0.53,0.53,0.43,-0.43,-0.2,0.2,-0.16,0.16,0.3,-0.3,-0.82,0.82,0.01,-0.01,-0.16,0.16,-0.15,0.15,0.07,-0.07,-0.25,0.25,-0.26,0.26,-0.41,0.41,-0.2,0.2
1.44,-1.44,-0.09,0.09,-0.45,0.45,-0.53,0.53,0.38,-0.38,-0.2,0.2,-0.16,0.16,0.3,-0.3,-0.47,0.47,0.01,-0.01,-1.89,1.89,-0.15,0.15,0.07,-0.07,-0.25,0.25,-0.26,0.26,-0.41,0.41,-0.27,0.27
1.44,-1.44,-0.09,0.09,-0.45,0.45,-0.53,0.53,0.38,-0.38,-0.2,0.2,0.6,-0.6,0.3,-0.3,-0.47,0.47,0.02,-0.02,-1.89,1.89,-0.15,0.15,0.07,-0.07,-0.25,0.25,-0.26,0.26,-0.41,0.41,-0.27,0.27
1.44,-1.44,-0.09,0.09,-0.45,0.45,-0.53,0.53,0.38,-0.38,-0.2,0.2,0.6,-0.6,0.3,-0.3,-0.47,0.47,0.02,-0.02,-1.89,1.89,-0.15,0.15,0.07,-0.07,-0.25,0.25,-0.26,0.26,-0.41,0.41,-0.05,0.05
1.44,-1.44,-0.09,0.09,-0.45,0.45,-0.53,0.53,0.84,-0.84,-0.2,0.2,0.6,-0.6,0.3,-0.3,-0.47,0.47,0.02,-0.02,-1.89,1.89,-0.15,0.15,-0.25,0.25,-0.25,0.25,-0.26,0.26,-0.41,0.41,-0.05,0.05
1.55,-1.55,-0.09,0.09,-0.45,0.45,-0.53,0.53,0.84,-0.84,-0.2,0.2,0.6,-0.6,0.3,-0.3,-0.47,0.47,-0.21,0.21,-1.89,1.89,-0.15,0.15,-0.25,0.25,-0.45,0.45,-0.26,0.26,-0.41,0.41,-0.05,0.05
1.55,-1.55,-0.09,0.09,-0.45,0.45,-0.53,0.53,0.84,-0.84,-6.66,6.66,0.6,-0.6,0.3,-0.3,-0.47,0.47,0.47,-0.47,-0.29,0.29,-0.15,0.15,-0.25,0.25,-0.45,0.45,-0.26,0.26,-0.41,0.41,-0.05,0.05
1.55,-1.55,-0.09,0.09,-0.45,0.45,-0.53,0.53,0.84,-0.84,-1.29,1.29,0.6,-0.6,0.3,-0.3,-0.47,0.47,0.2,-0.2,-0.29,0.29,-0.15,0.15,-0.37,0.37,-0.27,0.27,-0.26,0.26,-0.41,0.41,-0.05,0.05
1.55,-1.55,-0.09,0.09,-0.45,0.45,-0.53,0.53,0.84,-0.84,-1.29,1.29,0.6,-0.6,0.3,-0.3,-0.47,0.47,-0.04,0.04,-0.29,0.29,-0.15,0.15,-0.92,0.92,-0.27,0.27,-0.26,0.26,-0.41,0.41,-0.05,0.05
1.55,-1.55,-0.09,0.09,-0.45,0.45,-0.55,0.55,0.84,-0.84,-1.29,1.29,0.6,-0.6,0.3,-0.3,-0.47,0.47,-0.04,0.04,-0.29,0.29,-0.15,0.15,-0.92,0.92,-0.27,0.27,-0.26,0.26,-0.41,0.41,-0.05,0.05
1.55,-1.55,-0.09,0.09,-0.45,0.45,-0.55,0.55,0.84,-0.84,-1.29,1.29,0.6,-0.6,0.3,-0.3,-1.17,1.17,-0.04,0.04,-0.29,0.29,-0.15,0.15,-1.01,1.01,-0.27,0.27,-0.26,0.26,-0.41,0.41,-0.05,0.05
1.55,-1.55,-0.09,0.09,-0.45,0.45,-0.55,0.55,0.84,-0.84,-1.29,1.29,-0.44,0.44,0.3,-0.3,-1.17,1.17,-0.04,0.04,-0.29,0.29,-0.15,0.15,-1.01,1.01,-0.27,0.27,-0.26,0.26,-0.41,0.41,-0.05,0.05
0.12,-0.12,-0.09,0.09,-0.45,0.45,-0.48,0.48,0.84,-0.84,-8.44,8.44,-0.44,0.44,0.3,-0.3,-1.17,1.17,-0.04,0.04,-0.29,0.29,-0.15,0.15,-1.01,1.01,-0.28,0.28,-0.26,0.26,-0.41,0.41,-0.93,0.93
0.12,-0.12,-0.09,0.09,-0.45,0.45,-0.48,0.48,0.84,-0.84,-8.44,8.44,-0.44,0.44,0.3,-0.3,-0.98,0.98,-0.04,0.04,-0.29,0.29,-0.15,0.15,-1.01,1.01,-0.28,0.28,-0.26,0.26,-0.41,0.41,-0.93,0.93
0.12,-0.12,-0.09,0.09,-0.45,0.45,-0.48,0.48,0.42,-0.42,-8.44,8.44,-0.44,0.44,0.3,-0.3,-0.98,0.98,-0.04,0.04,-0.29,0.29,-0.15,0.15,-1.01,1.01,-0.28,0.28,-0.26,0.26,-0.41,0.41,-0.93,0.93
0.12,-0.12,-0.09,0.09,-1.63,1.63,-0.48,0.48,0.42,-0.42,-8.28,8.28,-0.44,0.44,0.17,-0.17,-1.07,1.07,-0.04,0.04,-0.29,0.29,1.05,-1.05,-1.01,1.01,-0.28,0.28,-0.26,0.26,-0.41,0.41,-0.93,0.93
0.12,-0.12,-0.09,0.09,-1.63,1.63,-0.48,0.48,0.42,-0.42,-8.28,8.28,-0.44,0.44,0.17,-0.17,-1.07,1.07,-0.04,0.04,-0.29,0.29,1.05,-1.05,-1.01,1.01,-0.28,0.28,-0.26,0.26,0.12,-0.12,-0.93,0.93
0.12,-0.12,-0.09,0.09,-1.63,1.63,-0.48,0.48,0.42,-0.42,-8.28,8.28,-0.44,0.44,0.17,-0.17,-1.07,1.07,-0.04,0.04,-0.29,0.29,1.05,-1.05,-1.01,1.01,-0.28,0.28,-0.26,0.26,0.12,-0.12,-0.58,0.58
0.12,-0.12,-0.09,0.09,-1.63,1.63,-0.48,0.48,0.42,-0.42,-8.28,8.28,-0.44,0.44,0.47,-0.47,-1.07,1.07,-0.04,0.04,-0.29,0.29,1.05,-1.05,-1.01,1.01,-0.28,0.28,-0.26,0.26,0.12,-0.12,-0.58,0.58
0.12,-0.12,-0.09,0.09,-1.63,1.63,-0.48,0.48,0.42,-0.42,-9.6,9.6,-0.44,0.44,0.47,-0.47,-1.07,1.07,-0.04,0.04,-1.99,1.99,1.05,-1.05,-1.01,1.01,-0.28,0.28,-0.26,0.26,0.12,-0.12,-0.58,0.58
0.12,-0.12,-0.09,0.09,-1.63,1.63,-0.48,0.48,0.42,-0.42,-9.6,9.6,0.0,0.0,0.47,-0.47,-1.07,1.07,-0.04,0.04,-0.61,0.61,1.05,-1.05,-1.01,1.01,-0.28,0.28,-0.26,0.26,0.12,-0.12,-0.72,0.72
0.12,-0.12,-0.09,0.09,-1.63,1.63,-0.48,0.48,0.42,-0.42,-9.6,9.6,0.0,0.0,0.5,-0.5,-1.07,1.07,-0.04,0.04,-0.61,0.61,1.05,-1.05,-1.01,1.01,-0.28,0.28,-0.26,0.26,0.12,-0.12,-0.72,0.72
0.12,-0.12,-0.09,0.09,-1.63,1.63,-0.48,0.48,9.92,-9.92,-9.11,9.11,0.0,0.0,0.5,-0.5,-1.07,1.07,-0.04,0.04,-0.61,0.61,1.05,-1.05,-1.01,1.01,-0.28,0.28,-0.26,0.26,-0.39,0.39,1.19,-1.19
0.12,-0.12,-0.09,0.09,-1.18,1.18,-0.48,0.48,9.92,-9.92,-9.11,9.11,0.0,0.0,0.5,-0.5,-1.07,1.07,-0.04,0.04,-0.61,0.61,1.05,-1.05,-1.01,1.01,-0.28,0.28,-0.26,0.26,5.9,-5.9,1.19,-1.19
0.12,-0.12,-0.09,0.09,-1.18,1.18,-0.71,0.71,9.92,-9.92,-9.47,9.47,0.0,0.0,0.5,-0.5,-1.07,1.07,-0.51,0.51,-0.61,0.61,0.37,-0.37,-1.01,1.01,-0.28,0.28,-0.26,0.26,5.9,-5.9,1.19,-1.19
0.12,-0.12,-0.09,0.09,-1.18,1.18,-0.71,0.71,9.49,-9.49,-9.47,9.47,-0.49,0.49,0.5,-0.5,-1.07,1.07,-0.51,0.51,-0.61,0.61,0.37,-0.37,-1.01,1.01,-0.28,0.28,-0.26,0.26,6.81,-6.81,1.05,-1.05
0.21,-0.21,-0.09,0.09,-1.18,1.18,-0.71,0.71,9.49,-9.49,-9.47,9.47,-0.49,0.49,0.5,-0.5,-1.07,1.07,-0.51,0.51,-0.61,0.61,0.37,-0.37,-1.33,1.33,-0.28,0.28,-0.26,0.26,6.81,-6.81,1.05,-1.05
0.21,-0.21,-0.09,0.09,-1.18,1.18,-0.71,0.71,9.49,-9.49,-9.47,9.47,-0.49,0.49,0.62,-0.62,-1.07,1.07,-0.51,0.51,-0.61,0.61,0.37,-0.37,-1.33,1.33,-0.28,0.28,-0.26,0.26,6.81,-6.81,1.06,-1.06
0.21,-0.21,-0.09,0.09,-1.03,1.03,-0.71,0.71,9.49,-9.49,-8.08,8.08,-0.49,0.49,0.62,-0.62,-1.07,1.07,-0.5,0.5,-0.61,0.61,0.37,-0.37,-1.33,1.33,-0.28,0.28,-0.26,0.26,6.81,-6.81,1.06,-1.06
0.21,-0.21,-0.09,0.09,-1.03,1.03,-0.71,0.71,9.49,-9.49,-8.08,8.08,-0.49,0.49,0.62,-0.62,-1.19,1.19,-0.5,0.5,-0.61,0.61,0.37,-0.37,-1.33,1.33,-0.28,0.28,-0.26,0.26,6.81,-6.81,1.06,-1.06
0.21,-0.21,-0.09,0.09,-1.03,1.03,-0.71,0.71,9.49,-9.49,-8.08,8.08,-0.49,0.49,0.62,-0.62,-1.19,1.19,-0.8,0.8,-1.48,1.48,0.37,-0.37,-1.33,1.33,-0.28,0.28,-0.67,0.67,6.81,-6.81,1.06,-1.06
-0.14,0.14,-0.86,0.86,-1.03,1.03,-0.71,0.71,9.49,-9.49,-8.08,8.08,-0.49,0.49,0.51,-0.51,-1.19,1.19,-0.37,0.37,-1.48,1.48,0.37,-0.37,-1.33,1.33,-0.28,0.28,-0.67,0.67,6.81,-6.81,1.06,-1.06
-0.14,0.14,-0.86,0.86,-1.03,1.03,-0.71,0.71,9.49,-9.49,-8.08,8.08,-0.49,0.49,0.51,-0.51,-1.19,1.19,-0.37,0.37,-1.48,1.48,0.37,-0.37,-1.27,1.27,-0.28,0.28,-0.67,0.67,6.81,-6.81,1.06,-1.06
-0.14,0.14,-0.86,0.86,-0.91,0.91,-0.71,0.71,9.49,-9.49,-8.08,8.08,-0.49,0.49,0.51,-0.51,-1.19,1.19,-0.37,0.37,-1.48,1.48,0.37,-0.37,-1.27,1.27,-0.28,0.28,-0.67,0.67,6.81,-6.81,1.06,-1.06
-0.07,0.07,-0.86,0.86,-0.91,0.91,-0.71,0.71,9.49,-9.49,-8.08,8.08,-0.21,0.21,0.51,-0.51,-1.19,1.19,-0.37,0.37,-1.48,1.48,0.37,-0.37,-1.27,1.27,-0.28,0.28,-0.67,0.67,6.81,-6.81,1.06,-1.06
-0.07,0.07,-0.86,0.86,-0.91,0.91,-0.71,0.71,9.49,-9.49,-8.08,8.08,-0.21,0.21,0.51,-0.51,-1.19,1.19,-0.37,0.37,-1.48,1.48,0.37,-0.37,-1.27,1.27,-0.28,0.28,0.21,-0.21,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-0.91,0.91,-0.71,0.71,9.61,-9.61,-8.08,8.08,-0.21,0.21,0.51,-0.51,-1.19,1.19,-0.37,0.37,-1.48,1.48,0.37,-0.37,-1.27,1.27,-0.28,0.28,0.21,-0.21,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-1.11,1.11,-0.71,0.71,9.61,-9.61,-8.08,8.08,-0.21,0.21,0.4,-0.4,-1.19,1.19,-0.61,0.61,-1.48,1.48,0.37,-0.37,-1.28,1.28,-0.1,0.1,0.21,-0.21,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-1.11,1.11,0.07,-0.07,9.61,-9.61,-8.08,8.08,-0.21,0.21,0.42,-0.42,-1.19,1.19,-0.61,0.61,-1.48,1.48,0.37,-0.37,-1.28,1.28,-0.1,0.1,0.21,-0.21,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-1.11,1.11,0.07,-0.07,9.61,-9.61,-8.08,8.08,-0.21,0.21,0.05,-0.05,-1.19,1.19,-0.61,0.61,-1.48,1.48,0.37,-0.37,-1.28,1.28,-0.1,0.1,0.21,-0.21,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-1.11,1.11,0.07,-0.07,9.61,-9.61,-8.08,8.08,-0.21,0.21,0.05,-0.05,-1.19,1.19,-0.61,0.61,0.28,-0.28,0.37,-0.37,-1.28,1.28,-0.32,0.32,0.21,-0.21,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-1.11,1.11,0.07,-0.07,9.61,-9.61,-9.13,9.13,-0.21,0.21,0.13,-0.13,-1.19,1.19,-0.61,0.61,0.28,-0.28,0.37,-0.37,-1.28,1.28,-0.32,0.32,0.21,-0.21,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-0.57,0.57,0.07,-0.07,9.61,-9.61,-9.13,9.13,-0.21,0.21,0.13,-0.13,-1.23,1.23,-0.61,0.61,0.28,-0.28,0.37,-0.37,-1.28,1.28,-0.32,0.32,0.21,-0.21,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-0.57,0.57,0.07,-0.07,9.61,-9.61,-9.13,9.13,-0.21,0.21,0.13,-0.13,-1.23,1.23,-0.61,0.61,0.28,-0.28,0.37,-0.37,-1.28,1.28,-0.32,0.32,0.21,-0.21,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-0.57,0.57,0.07,-0.07,8.55,-8.55,-9.13,9.13,-0.28,0.28,0.69,-0.69,-1.23,1.23,-0.61,0.61,0.28,-0.28,0.37,-0.37,-1.28,1.28,-0.32,0.32,0.21,-0.21,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-0.57,0.57,0.07,-0.07,8.55,-8.55,-9.13,9.13,-0.28,0.28,0.69,-0.69,-1.23,1.23,-0.61,0.61,0.28,-0.28,1.5,-1.5,-1.28,1.28,-0.32,0.32,0.02,-0.02,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-0.57,0.57,0.07,-0.07,13.78,-13.78,-9.13,9.13,0.23,-0.23,0.69,-0.69,-1.23,1.23,-0.61,0.61,0.28,-0.28,1.5,-1.5,-1.28,1.28,-0.32,0.32,0.02,-0.02,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-0.57,0.57,0.04,-0.04,13.78,-13.78,-9.13,9.13,0.23,-0.23,0.69,-0.69,-1.23,1.23,-0.61,0.61,0.28,-0.28,1.5,-1.5,-1.28,1.28,-0.32,0.32,0.02,-0.02,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-0.57,0.57,0.04,-0.04,13.78,-13.78,-9.13,9.13,0.23,-0.23,0.69,-0.69,-1.23,1.23,-0.61,0.61,0.28,-0.28,0.61,-0.61,-1.28,1.28,-0.32,0.32,0.02,-0.02,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-0.57,0.57,0.04,-0.04,13.78,-13.78,-9.13,9.13,0.23,-0.23,0.69,-0.69,-1.23,1.23,-0.61,0.61,0.28,-0.28,0.61,-0.61,-1.28,1.28,-0.32,0.32,0.02,-0.02,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-0.57,0.57,0.04,-0.04,13.78,-13.78,-9.13,9.13,0.23,-0.23,0.69,-0.69,-1.23,1.23,-0.37,0.37,0.28,-0.28,0.61,-0.61,-1.28,1.28,-0.32,0.32,0.02,-0.02,6.81,-6.81,1.06,-1.06
-0.12,0.12,-0.86,0.86,-0.57,0.57,0.04,-0.04,13.78,-13.78,-8.36,8.36,0.23,-0.23,0.42,-0.42,-1.23,1.23,-0.37,0.37,0.28,-0.28,0.61,-0.61,-1.28,1.28,-0.32,0.32,0.02,-0.02,5.56,-5.56,-0.11,0.11
0.07,-0.07,-0.86,0.86,-0.57,0.57,0.04,-0.04,13.78,-13.78,-8.36,8.36,0.23,-0.23,0.42,-0.42,-1.23,1.23,-0.37,0.37,0.28,-0.28,0.61,-0.61,-1.28,1.28,-0.32,0.32,0.02,-0.02,5.56,-5.56,-0.11,0.11
0.07,-0.07,-0.86,0.86,-0.57,0.57,0.04,-0.04,13.78,-13.78,-8.36,8.36,0.23,-0.23,0.42,-0.42,-1.23,1.23,-0.37,0.37,0.28,-0.28,0.61,-0.61,-0.81,0.81,-0.32,0.32,0.46,-0.46,5.27,-5.27,-0.11,0.11
0.07,-0.07,-0.86,0.86,-0.57,0.57,0.04,-0.04,13.78,-13.78,-8.36,8.36,0.23,-0.23,0.42,-0.42,-1.23,1.23,-0.37,0.37,0.28,-0.28,1.66,-1.66,-0.81,0.81,-0.32,0.32,0.46,-0.46,5.27,-5.27,0.87,-0.87
-0.06,0.06,-0.86,0.86,-0.57,0.57,0.04,-0.04,13.78,-13.78,-8.36,8.36,0.23,-0.23,0.42,-0.42,-1.23,1.23,-0.37,0.37,0.28,-0.28,1.66,-1.66,-0.81,0.81,-0.32,0.32,0.46,-0.46,5.27,-5.27,0.87,-0.87
-0.06,0.06,-0.86,0.86,-0.57,0.57,0.04,-0.04,13.78,-13.78,-8.36,8.36,0.23,-0.23,0.42,-0.42,-1.23,1.23,-0.37,0.37,0.28,-0.28,1.66,-1.66,-0.81,0.81,-0.32,0.32,0.46,-0.46,6.99,-6.99,0.87,-0.87
-0.06,0.06,-0.86,0.86,-0.57,0.57,0.04,-0.04,8.65,-8.65,-8.36,8.36,0.23,-0.23,0.42,-0.42,-1.23,1.23,-0.37,0.37,0.28,-0.28,1.66,-1.66,-0.81,0.81,-0.32,0.32,0.46,-0.46,6.99,-6.99,0.87,-0.87
-0.06,0.06,-0.86,0.86,-0.57,0.57,0.04,-0.04,8.65,-8.65,-8.36,8.36,0.33,-0.33,0.42,-0.42,-1.23,1.23,-0.37,0.37,0.28,-0.28,1.66,-1.66,-0.81,0.81,-0.32,0.32,-0.68,0.68,6.99,-6.99,0.87,-0.87
0.01,-0.01,-0.86,0.86,-0.57,0.57,0.04,-0.04,8.65,-8.65,-8.36,8.36,0.33,-0.33,0.42,-0.42,-1.23,1.23,-0.37,0.37,0.28,-0.28,1.66,-1.66,-0.85,0.85,-0.22,0.22,-0.68,0.68,6.99,-6.99,0.87,-0.87
0.01,-0.01,-0.86,0.86,-0.57,0.57,0.0,0.0,8.65,-8.65,-8.36,8.36,0.22,-0.22,0.42,-0.42,-1.23,1.23,-0.37,0.37,0.28,-0.28,1.66,-1.66,-0.85,0.85,-0.22,0.22,-0.68,0.68,6.99,-6.99,0.87,-0.87
-0.12,0.12,-0.86,0.86,-0.57,0.57,0.0,0.0,8.65,-8.65,-8.36,8.36,0.22,-0.22,0.42,-0.42,-1.23,1.23,-0.37,0.37,-1.25,1.25,1.66,-1.66,-0.85,0.85,-0.22,0.22,-0.33,0.33,6.99,-6.99,0.87,-0.87
-0.12,0.12,-0.01,0.01,-0.57,0.57,0.0,0.0,8.85,-8.85,-8.36,8.36,0.22,-0.22,0.42,-0.42,-1.23,1.23,-0.37,0.37,-1.25,1.25,1.66,-1.66,-0.85,0.85,-0.22,0.22,-0.33,0.33,6.99,-6.99,0.87,-0.87
-0.12,0.12,-0.01,0.01,-0.57,0.57,0.0,0.0,8.85,-8.85,-8.36,8.36,0.22,-0.22,0.42,-0.42,-1.23,1.23,-0.37,0.37,-1.25,1.25,1.66,-1.66,-0.85,0.85,-0.22,0.22,-0.33,0.33,6.65,-6.65,0.87,-0.87
-0.12,0.12,-0.01,0.01,-0.57,0.57,0.0,0.0,8.85,-8.85,-8.36,8.36,0.22,-0.22,0.42,-0.42,-1.23,1.23,-0.37,0.37,-1.25,1.25,1.66,-1.66,-0.85,0.85,-0.33,0.33,-0.33,0.33,6.65,-6.65,0.87,-0.87
0.83,-0.83,-0.01,0.01,-0.57,0.57,0.0,0.0,8.85,-8.85,-8.24,8.24,-0.62,0.62,0.42,-0.42,-1.23,1.23,-1.26,1.26,-1.25,1.25,1.66,-1.66,-0.85,0.85,0.03,-0.03,-0.33,0.33,6.65,-6.65,0.87,-0.87
